source_system,source_identifier,wellbore_uid,well_code,sidetrack_code,operator_label,match_method,match_confidence,identity_kind,occurrences,official_identifiers,evidence,first_seen_in
TRAJ,15_9-19,15/9-19,15/9-19,,,NORMALIZED,0.95,WELL_FOLDER,11,,stages a-d; decided at c_canonical_separators,Well_technical_data/WellWellbore
DDR,15/9-19 A,15/9-19 A,15/9-19,A,,EXACT,1.00,NPD_CODE_WELL|NPD_CODE_WELLBORE,220,NPD_NUMBER:3145,already canonical; corroborated by NPD_NUMBER 3145 (from DDR NPD_CODE_WELL|NPD_CODE_WELLBORE '15/9-19 A'),data/landing/ddr/Well_technical_data/Daily Drilling Report - XML Version/15_9_19_A_1980_01_01.xml
DDR,15_9_19_A,15/9-19 A,15/9-19,A,,NORMALIZED,0.95,FILE_NAME,330,,stages a-d; decided at d_split_sidetrack,Daily Drilling Report file names
DDR,3145,15/9-19 A,15/9-19,A,,IDENTIFIER,1.00,NPD_NUMBER,110,NPD_NUMBER:3145,NPD_NUMBER 3145 (from DDR NPD_CODE_WELL|NPD_CODE_WELLBORE '15/9-19 A'),data/landing/ddr/Well_technical_data/Daily Drilling Report - XML Version/15_9_19_A_1980_01_01.xml
DDR,NO 15/9-19 A,15/9-19 A,15/9-19,A,,NORMALIZED,0.95,XML_NAME_WELL|XML_NAME_WELLBORE,220,NPD_NUMBER:3145,stages a-d; decided at d_split_sidetrack; corroborated by NPD_NUMBER 3145 (from DDR NPD_CODE_WELL|NPD_CODE_WELLBORE '15/9-19 A'),data/landing/ddr/Well_technical_data/Daily Drilling Report - XML Version/15_9_19_A_1980_01_01.xml
TRAJ,15_9-19 A,15/9-19 A,15/9-19,A,,NORMALIZED,0.95,WELLBORE_FOLDER,2,,stages a-d; decided at d_split_sidetrack,Well_technical_data/WellWellbore
DDR,15/9-19 B,15/9-19 B,15/9-19,B,,EXACT,1.00,NPD_CODE_WELL|NPD_CODE_WELLBORE,116,NPD_NUMBER:3251,already canonical; corroborated by NPD_NUMBER 3251 (from DDR NPD_CODE_WELL|NPD_CODE_WELLBORE '15/9-19 B'),data/landing/ddr/Well_technical_data/Daily Drilling Report - XML Version/15_9_19_BT2_1997_12_06.xml
DDR,15_9_19_B,15/9-19 B,15/9-19,B,,NORMALIZED,0.95,FILE_NAME,81,,stages a-d; decided at d_split_sidetrack,Daily Drilling Report file names
DDR,3251,15/9-19 B,15/9-19,B,,IDENTIFIER,1.00,NPD_NUMBER,89,NPD_NUMBER:3251,NPD_NUMBER 3251 (from DDR NPD_CODE_WELL|NPD_CODE_WELLBORE '15/9-19 B'),data/landing/ddr/Well_technical_data/Daily Drilling Report - XML Version/15_9_19_BT2_1997_12_06.xml
DDR,NO 15/9-19 B,15/9-19 B,15/9-19,B,,NORMALIZED,0.95,XML_NAME_WELL|XML_NAME_WELLBORE,116,NPD_NUMBER:3251,stages a-d; decided at d_split_sidetrack; corroborated by NPD_NUMBER 3251 (from DDR NPD_CODE_WELL|NPD_CODE_WELLBORE '15/9-19 B'),data/landing/ddr/Well_technical_data/Daily Drilling Report - XML Version/15_9_19_BT2_1997_12_06.xml
